,Low,Med,High
0,1.000,1.000,1.000
1,1.000,1.000,1.000
2,1.000,1.000,1.000
3,1.000,1.000,1.000
4,1.000,1.000,1.000
5,1.000,1.000,1.000
6,1.000,1.000,1.000
7,1.000,1.000,1.000
8,1.000,1.000,1.000
9,0.215,2.495,1.369
10,1.279,1.766,0.869
11,1.355,1.206,0.759
12,1.435,1.279,0.824
13,1.122,1.437,0.871
14,1.098,1.589,0.871
15,1.073,1.103,0.904
16,0.898,1.124,0.916
17,1.133,0.889,0.903
18,1.001,0.895,0.902
19,0.873,0.882,0.938
20,0.909,1.000,0.918
21,0.892,0.979,0.857
22,0.809,0.858,0.691
23,0.440,0.470,0.419